scenario,preset,duration,due_time,policy,reward_mode,arch,train_seed,timesteps,n_eval,on_time_pct_mean,p95_lateness_s_mean,throughput_per_hour_mean,on_time_pct_std,p95_lateness_s_std,throughput_per_hour_std
standard_tight,standard,15.0,2.0,nearest_robot,na,na,-1,0,8,97.87,7.5391,67.0,2.8892,13.8436,15.5885
standard_tight,standard,15.0,2.0,least_busy,na,na,-1,0,8,81.4849,47.8978,65.5,13.7709,34.1952,13.9911
standard_tight,standard,15.0,2.0,round_robin,na,na,-1,0,8,98.2065,1.3778,66.0,3.4127,3.1441,16.7332
standard_tight,standard,15.0,2.0,auction,na,na,-1,0,8,97.87,7.5391,67.0,2.8892,13.8436,15.5885
standard_tight,standard,15.0,2.0,ppo,sparse,candidate,0,40000,8,86.262,29.0086,64.5,13.1535,27.415,13.775
standard_tight,standard,15.0,2.0,ppo,sparse,candidate,1,40000,8,98.495,6.3767,67.0,2.7376,14.0412,15.5885
standard_tight,standard,15.0,2.0,ppo,sparse,candidate,2,40000,8,79.3128,45.6361,64.5,11.6466,28.5372,12.8744
standard_tight,standard,15.0,2.0,ppo,dense,candidate,0,40000,8,81.2042,40.2709,64.5,13.1432,23.5825,12.5599
standard_tight,standard,15.0,2.0,ppo,dense,candidate,1,40000,8,90.5969,22.6263,65.5,8.9212,26.5914,14.824
standard_tight,standard,15.0,2.0,ppo,dense,candidate,2,40000,8,82.0616,43.8382,65.0,12.9581,31.1044,13.2288
standard_tight,standard,15.0,2.0,ppo,attribution,candidate,0,40000,8,95.7172,11.9082,65.5,7.2901,20.0891,14.5516
standard_tight,standard,15.0,2.0,ppo,attribution,candidate,1,40000,8,98.8315,7.4183,66.5,2.0304,14.4388,15.6125
standard_tight,standard,15.0,2.0,ppo,attribution,candidate,2,40000,8,94.5476,10.9139,66.0,7.0202,16.0704,14.8324
standard_tight,standard,15.0,2.0,ppo,routed,candidate,0,40000,8,95.8963,9.2927,66.5,5.2161,16.6996,15.2233
standard_tight,standard,15.0,2.0,ppo,routed,candidate,1,40000,8,98.8315,7.2308,66.0,2.0304,13.98,15.748
standard_tight,standard,15.0,2.0,ppo,routed,candidate,2,40000,8,95.8634,8.6314,66.0,5.2225,13.4087,14.8324
standard_mod,standard,15.0,3.0,nearest_robot,na,na,-1,0,8,100.0,0.0,67.0,0.0,0.0,15.5885
standard_mod,standard,15.0,3.0,least_busy,na,na,-1,0,8,97.4581,9.3182,65.5,3.6653,13.2779,13.9911
standard_mod,standard,15.0,3.0,round_robin,na,na,-1,0,8,100.0,0.0,66.0,0.0,0.0,16.7332
standard_mod,standard,15.0,3.0,auction,na,na,-1,0,8,100.0,0.0,67.0,0.0,0.0,15.5885
standard_mod,standard,15.0,3.0,ppo,sparse,candidate,0,40000,8,100.0,0.0,66.0,0.0,0.0,15.2315
standard_mod,standard,15.0,3.0,ppo,sparse,candidate,1,40000,8,99.4318,1.711,65.5,1.5033,4.5268,13.9911
standard_mod,standard,15.0,3.0,ppo,sparse,candidate,2,40000,8,100.0,0.0,66.0,0.0,0.0,14.8324
